id_rep_preliminar,curp,activo
1,QOBA065393HBVSOM14,true
2,UUYS301957HYCHZL94,true
3,OUNW414298HZQHDG82,true
4,FOZY861738HANYDQ34,false
5,EAAN955015MAILHU30,false
6,QUKQ924874MJOSQX13,true
7,SUBG399380HYIRUQ51,true
8,RAGO561529MCYNJP70,false
9,VIFZ412219MDIXZA05,true
10,IOJA978866MDWULS86,false
11,AUAY416879MNKPWU88,true
12,MIQF949148HUDASJ78,false
13,ROTU096979MLNATR16,true
14,PUCH098715MCLKEW01,false
15,MUTO222465MZGHQW97,true
16,IUYL124338MTAPUW16,true
17,RIPS986374MWNGKE52,true
18,AUPI919777HVNRKU80,true
19,JUEP204249MVWNLT39,true
20,TEDS687080MSOBUW46,false
21,HECM417828MJPFMZ71,false
22,LUDE682827HRFXEJ69,true
23,CUJO076164MYHMIN81,false
24,BUYI679931HFHXYR38,true
25,CUWF826503MFSQXH67,true
26,OACW319467MTILAE66,true
27,NUYC602306MTVIRE45,false
28,XUTY037558HYGBXS76,true
29,OUUA531959HOKRQB43,false
30,BURJ012667MZGSVD47,false
31,XUTE415746MPRALO20,true
32,QUXE691507HZRMEG48,true
33,EOMK966235HMWEZI32,true
34,NOME193592MENQYX74,false
35,YIWI374520MPYTRA22,true
36,REOV561010HLWSGD21,false
37,QOAH404583HIATOV69,true
38,NUNT275671MFJDLN16,true
39,TUZA488319MWDGYX86,true
40,VUHV561983MAVBTH38,true
41,YIAJ596052MHBNDO81,true
42,XUAO705887HNYGZE01,true
43,TUJM146262HZCJKX69,false
44,JUXJ726651MXWEZF43,true
45,ZUWM437542MUXWHM27,false
46,YUXZ932762HLERNQ56,false
47,KUPI218437MUHWBA50,false
48,UUFQ367873HLCNHW75,true
49,SUWC199241MTLYWM46,false
50,AOVQ670415MUWFAB61,false
51,AUKX456989MGVHNC84,false
52,CORD684472HAVPLW22,false
53,KANB405374MFUSDC79,false
54,QIVU916740MKORHE41,false
55,EAOW017888MXNUZL33,false
56,AUQB861691MEJSAQ42,true
57,VUJP913036MWGQMU96,true
58,XUYF505912MANVFY14,true
59,VENG958950HUIKDN45,true
60,IUWJ398218MYIOUM51,true
61,HOGY882038MHAZRN15,false
62,DUSO998194MEWFMZ76,true
63,HOFD053980MHFYIB37,false
64,POTZ335907HIBHPG22,false
65,GUTJ053658HWPGIJ30,false
66,FOFO295241HZRXTS00,false
67,UIYN795456HJOIFQ77,false
68,TUIT453914MNXTVF59,true
69,OIBZ169575MWTSYU85,false
70,UOJW333135HMRPVN16,false
71,KOZJ254694HMRIKT12,false
72,OUJT715865HLKFYB52,true
73,LIFC494673MDAFKV45,true
74,ZULT626084HKFXIZ43,true
75,ZUAG484345HIQJEP51,true
76,JONP779277MMDNQP70,true
77,OOMO048691MNUJOE24,false
78,FIIL594400HHWLYI74,false
79,YUNM113273MGBKXM21,true
80,VIZF294501HPDZIK33,true
81,XUPB498322HECKSD88,false
82,JUYJ647736HYGQZB40,false
83,AOWK218717MZDHNG98,true
84,UUQE666881MEBAFI15,false
85,YORF448155MDUAJO63,true
86,LEFS732874MNLIPZ97,false
87,TOOP315382HHUSOT38,false
88,QULW419249HIYOZA73,false
89,PUHV853593MPGOKA99,true
90,VINV003589HFGRBV16,false
91,WOXC537358MDISEQ04,false
92,RUQZ526534MLAWBK86,true
93,JUIK335996HQIZUH25,true
94,MUYU827033MKCULZ78,false
95,OOJK015112MFYJDN63,false
96,OOMK170892MFECHK93,false
97,VIBU580479HCTIVD53,false
98,TAPW860087MMFTGW98,false
99,JUKP265259HJEOFG63,true
100,DUQU184813HCUIMD06,false
