estado,numero,calle,seccion,correo,clave_elector
Sonora,86,Monterey,165,rtutsell0@ameblo.jp,KTMQXP68121773H791
Guerrero,64,Crescent Oaks,147,agotecliffe1@theatlantic.com,AVUPKL97121901M172
Puebla,42,Mitchell,123,gfrowde2@example.com,ADPSLB86111880M332
Guerrero,49,Lakeland,155,gdegregoli3@edublogs.org,GLJBQZ94081959H019
Oaxaca,40,Pennsylvania,871,pbrantzen4@examiner.com,JCKIYE92091937H155
Morelos,79,Raven,562,jgerardi5@prweb.com,OFTXKM99110979H611
Michoacán,89,Kedzie,277,bguilliland6@hugedomains.com,FEOVXG66122779M387
Tlaxcala,9,Bay,793,kandre7@shinystat.com,IWURYH71100779H130
Tlaxcala,49,Stoughton,812,bdelayglesias8@nationalgeographic.com,YZMUTC81121732H229
Oaxaca,35,Granby,421,ckassman9@freewebs.com,UVMOWX98110989H003
Ciudad de México,66,Porter,329,caldama@bizjournals.com,RWZYPU65120966M653
Oaxaca,70,Magdeline,812,mcolmerb@altervista.org,PGIDMX88111970M857
Hidalgo,21,Village,56,dcoultassc@over-blog.com,IJSODV96122779M436
Guerrero,97,Forest,343,tpickavanced@oaic.gov.au,ZAJTFO72122949H509
Guerrero,49,Buhler,391,jarmytagee@flavors.me,ENGBDA85071950M654
Morelos,83,Bunting,324,cstandishf@usa.gov,FECATB94070945M843
Campeche,26,Talisman,871,eleveretteg@blogger.com,DWCUFO89120779H549
Tamaulipas,40,Ludington,463,ibrymhamh@sakura.ne.jp,YJTQON97101944H045
Sonora,75,Evergreen,278,ipoffi@slate.com,KSHTZM91122824H729
Hidalgo,100,Lien,875,gtrouncerj@home.pl,GVMBCU65092731H192
Sinaloa,82,Old Gate,163,chailwoodk@geocities.jp,NCPEFD93110608M740
Yucatán,43,Doe Crossing,871,bboutellierl@state.tx.us,WJCRTZ94121761H018
Hidalgo,45,Pierstorff,517,mscardifeildm@google.es,MSNILR99122951M533
Guerrero,63,Independence,163,mmuspratn@stumbleupon.com,OUXNYC90112994M784
San Luis Potosí,57,Jenifer,439,lfyfieldo@google.ca,LYBFKA95122833M496
Quintana Roo,54,Bashford,788,dabramzonp@fda.gov,ORWSIF84102973H193
Michoacán,40,Autumn Leaf,278,ghughlinq@comsenz.com,INLSVC80100938M134
Puebla,66,Kinsman,875,jcandelinr@t-online.de,VAKTSY80121917H117
Oaxaca,79,Tony,459,ififields@123-reg.co.uk,EBKAHO98091918H927
Tlaxcala,55,Westerfield,220,rtiftt@auda.org.au,UYRNHS89040723M742
Sinaloa,41,Algoma,913,ccesconiu@ucoz.ru,XEKCGB93122672M449
Ciudad de México,44,Continental,451,eedisv@ed.gov,TVYUON72122975M849
Guerrero,38,Dayton,752,sheightw@angelfire.com,FYDIJH76112894M882
Sonora,97,Burrows,752,cstephensx@prnewswire.com,IDYXSC79122867H525
Puebla,68,Eagan,683,kwintersony@hatena.ne.jp,JHOICV96110938H776
Oaxaca,12,Fallview,103,rhelixz@forbes.com,PJSBXN98112578H563
Ciudad de México,38,Southridge,155,eblackaller10@sogou.com,VUXRSM61122984M274
Michoacán,5,Huxley,641,tfaldoe11@nps.gov,LVUEAC65070686H227
Ciudad de México,13,La Follette,691,lferriday12@parallels.com,CQDPZX93120595H816
Campeche,1,Kropf,963,mranby13@mozilla.org,PYFCTL81102995M591
Puebla,37,Talisman,391,nlivingstone14@nasa.gov,AIRBNU98122985M359
Baja California,88,Stephen,437,ntieman15@smh.com.au,LSYOIV66112939M102
Estado de México,86,4th,61,lesh16@google.co.jp,YPSZKN98092844M043
Guerrero,70,Menomonie,23,ebroggetti17@baidu.com,OVPHKQ98122863M078
Tlaxcala,4,Oneill,710,gelfleet18@hhs.gov,OTBUPA92122998H226
Sonora,11,Lien,517,aantonat19@psu.edu,UEFZOP84081905H950
Hidalgo,75,Gale,859,kjosipovitz1a@baidu.com,CKQIWF90120641M175
Oaxaca,76,Caliangt,277,twelbrock1b@gizmodo.com,LDAIZM75060821H738
Baja California,89,Swallow,401,hprine1c@posterous.com,ABDQZK73112964H626
Guerrero,61,Tomscot,481,jpardoe1d@boston.com,DGMFKX91122818H258
Nuevo León,77,Summer Ridge,661,gwhife1e@mediafire.com,NCQLBR94120664M134
Ciudad de México,99,Fieldstone,963,wmahady1f@wsj.com,AWCPVI99082984H103
Oaxaca,86,4th,873,vmobley1g@wikimedia.org,OVIDZG87121991M993
Nuevo León,77,Manitowish,752,ekalvin1h@dot.gov,RSAFDI95101723M707
Tlaxcala,34,Summerview,421,aiaduccelli1i@house.gov,UTLDOW61121904H533
Puebla,76,Stang,462,wfratson1j@alibaba.com,OPEDSM79120774M073
Michoacán,33,Elgar,14,ttoop1k@stumbleupon.com,SKMAFU84102994H575
San Luis Potosí,16,Warner,180,egyenes1l@ed.gov,ANOTPH92102865H595
Oaxaca,55,Eastlawn,10,erentelll1m@usatoday.com,DNYZWS91112548M059
Estado de México,14,Northridge,303,bsplevins1n@dion.ne.jp,MDAOCN80102929M159
Baja California,1,Di Loreto,661,scomettoi1o@cbslocal.com,SGKCDX71081945H299
