id_RepSustituido,id_Rep_Preliminar,curp
1,1,QOBA065393HBVSOM14
2,2,UUYS301957HYCHZL94
3,3,OUNW414298HZQHDG82
4,4,FOZY861738HANYDQ34
5,5,EAAN955015MAILHU30
6,6,QUKQ924874MJOSQX13
7,7,SUBG399380HYIRUQ51
8,8,RAGO561529MCYNJP70
9,9,VIFZ412219MDIXZA05
10,10,IOJA978866MDWULS86
11,11,AUAY416879MNKPWU88
12,12,MIQF949148HUDASJ78
13,13,ROTU096979MLNATR16
14,14,PUCH098715MCLKEW01
15,15,MUTO222465MZGHQW97
16,16,IUYL124338MTAPUW16
17,17,RIPS986374MWNGKE52
18,18,AUPI919777HVNRKU80
19,19,JUEP204249MVWNLT39
20,20,TEDS687080MSOBUW46
21,21,HECM417828MJPFMZ71
22,22,LUDE682827HRFXEJ69
23,23,CUJO076164MYHMIN81
24,24,BUYI679931HFHXYR38
25,25,CUWF826503MFSQXH67
26,26,OACW319467MTILAE66
27,27,NUYC602306MTVIRE45
28,28,XUTY037558HYGBXS76
29,29,OUUA531959HOKRQB43
30,30,BURJ012667MZGSVD47
31,31,XUTE415746MPRALO20
32,32,QUXE691507HZRMEG48
33,33,EOMK966235HMWEZI32
34,34,NOME193592MENQYX74
35,35,YIWI374520MPYTRA22
36,36,REOV561010HLWSGD21
37,37,QOAH404583HIATOV69
38,38,NUNT275671MFJDLN16
39,39,TUZA488319MWDGYX86
40,40,VUHV561983MAVBTH38
41,41,YIAJ596052MHBNDO81
42,42,XUAO705887HNYGZE01
43,43,TUJM146262HZCJKX69
44,44,JUXJ726651MXWEZF43
45,45,ZUWM437542MUXWHM27
46,46,YUXZ932762HLERNQ56
47,47,KUPI218437MUHWBA50
48,48,UUFQ367873HLCNHW75
49,49,SUWC199241MTLYWM46
50,50,AOVQ670415MUWFAB61
51,51,AUKX456989MGVHNC84
52,52,CORD684472HAVPLW22
53,53,KANB405374MFUSDC79
54,54,QIVU916740MKORHE41
55,55,EAOW017888MXNUZL33
56,56,AUQB861691MEJSAQ42
57,57,VUJP913036MWGQMU96
58,58,XUYF505912MANVFY14
59,59,VENG958950HUIKDN45
60,60,IUWJ398218MYIOUM51
61,61,HOGY882038MHAZRN15
62,62,DUSO998194MEWFMZ76
63,63,HOFD053980MHFYIB37
64,64,POTZ335907HIBHPG22
65,65,GUTJ053658HWPGIJ30
66,66,FOFO295241HZRXTS00
67,67,UIYN795456HJOIFQ77
68,68,TUIT453914MNXTVF59
69,69,OIBZ169575MWTSYU85
70,70,UOJW333135HMRPVN16
71,71,KOZJ254694HMRIKT12
72,72,OUJT715865HLKFYB52
73,73,LIFC494673MDAFKV45
74,74,ZULT626084HKFXIZ43
75,75,ZUAG484345HIQJEP51
76,76,JONP779277MMDNQP70
77,77,OOMO048691MNUJOE24
78,78,FIIL594400HHWLYI74
79,79,YUNM113273MGBKXM21
80,80,VIZF294501HPDZIK33
81,81,XUPB498322HECKSD88
82,82,JUYJ647736HYGQZB40
83,83,AOWK218717MZDHNG98
84,84,UUQE666881MEBAFI15
85,85,YORF448155MDUAJO63
86,86,LEFS732874MNLIPZ97
87,87,TOOP315382HHUSOT38
88,88,QULW419249HIYOZA73
89,89,PUHV853593MPGOKA99
90,90,VINV003589HFGRBV16
91,91,WOXC537358MDISEQ04
92,92,RUQZ526534MLAWBK86
93,93,JUIK335996HQIZUH25
94,94,MUYU827033MKCULZ78
95,95,OOJK015112MFYJDN63
96,96,OOMK170892MFECHK93
97,97,VIBU580479HCTIVD53
98,98,TAPW860087MMFTGW98
99,99,JUKP265259HJEOFG63
100,100,DUQU184813HCUIMD06
