id_Rep_Preliminar,curp,usuario,fecha_aprobacion,hora_aprobacion
1,QOBA065393HBVSOM14,abreakspear0,2018-01-02,3:55 AM
2,UUYS301957HYCHZL94,gpickup1,2017-12-28,5:14 AM
3,OUNW414298HZQHDG82,tshemmans2,2018-04-17,4:08 AM
4,FOZY861738HANYDQ34,mjans3,2018-08-13,4:08 AM
5,EAAN955015MAILHU30,hefford4,2018-06-28,12:57 AM
6,QUKQ924874MJOSQX13,tcappel5,2018-06-12,4:34 PM
7,SUBG399380HYIRUQ51,tvalenssmith6,2018-03-21,3:50 AM
8,RAGO561529MCYNJP70,emartinello7,2018-04-05,12:57 AM
9,VIFZ412219MDIXZA05,eseelbach8,2017-11-11,11:17 PM
10,IOJA978866MDWULS86,ekrinks9,2018-01-27,7:02 PM
11,AUAY416879MNKPWU88,dduffielda,2018-03-06,9:12 PM
12,MIQF949148HUDASJ78,givanovicb,2017-12-19,4:19 PM
13,ROTU096979MLNATR16,anapthinec,2018-04-29,1:41 AM
14,PUCH098715MCLKEW01,sodelld,2018-06-14,7:57 PM
15,MUTO222465MZGHQW97,tchurcharde,2018-07-18,1:30 PM
16,IUYL124338MTAPUW16,eshewardf,2018-10-10,6:22 PM
17,RIPS986374MWNGKE52,abalharryg,2018-07-07,9:36 AM
18,AUPI919777HVNRKU80,sdickensh,2017-11-17,4:52 AM
19,JUEP204249MVWNLT39,mguitei,2017-11-08,4:59 AM
20,TEDS687080MSOBUW46,fspringatej,2018-01-06,6:01 AM
21,HECM417828MJPFMZ71,akernesk,2018-02-03,4:25 AM
22,LUDE682827HRFXEJ69,tstanbrookel,2018-05-29,7:18 AM
23,CUJO076164MYHMIN81,mmcavincheym,2018-08-12,8:00 PM
24,BUYI679931HFHXYR38,szotton,2018-01-07,11:02 AM
25,CUWF826503MFSQXH67,lmckeurtano,2018-06-15,9:09 PM
26,OACW319467MTILAE66,bdinkinp,2017-12-14,3:51 AM
27,NUYC602306MTVIRE45,sstrattanq,2018-01-18,12:26 PM
28,XUTY037558HYGBXS76,jimlachr,2017-12-02,2:46 PM
29,OUUA531959HOKRQB43,slarouxs,2017-11-03,7:51 PM
30,BURJ012667MZGSVD47,hscortont,2018-02-23,6:18 AM
31,XUTE415746MPRALO20,mprimaku,2018-08-22,10:18 PM
32,QUXE691507HZRMEG48,aannearv,2017-11-02,10:06 PM
33,EOMK966235HMWEZI32,jstarbeckw,2018-07-23,8:12 AM
34,NOME193592MENQYX74,akinnenx,2018-01-04,9:07 AM
35,YIWI374520MPYTRA22,fomullany,2018-05-06,6:30 PM
36,REOV561010HLWSGD21,bwintersonz,2018-03-18,4:51 AM
37,QOAH404583HIATOV69,barp10,2018-03-24,8:48 PM
38,NUNT275671MFJDLN16,fantunez11,2018-03-05,3:34 PM
39,TUZA488319MWDGYX86,edurham12,2018-04-08,1:51 AM
40,VUHV561983MAVBTH38,cglazebrook13,2018-07-07,4:52 PM
41,YIAJ596052MHBNDO81,kdeinhardt14,2017-12-03,4:50 AM
42,XUAO705887HNYGZE01,cmulroy15,2018-09-13,3:30 AM
43,TUJM146262HZCJKX69,llycett16,2018-03-23,1:16 AM
44,JUXJ726651MXWEZF43,snancekivell17,2018-04-18,3:58 PM
45,ZUWM437542MUXWHM27,ijanicki18,2018-02-14,10:51 PM
46,YUXZ932762HLERNQ56,dcancutt19,2018-01-10,11:17 PM
47,KUPI218437MUHWBA50,bdust1a,2018-03-13,9:44 AM
48,UUFQ367873HLCNHW75,lstanbury1b,2018-03-10,12:59 PM
49,SUWC199241MTLYWM46,sadel1c,2018-07-01,12:22 AM
50,AOVQ670415MUWFAB61,btilmouth1d,2018-04-22,10:41 PM
51,AUKX456989MGVHNC84,kfincher1e,2018-03-15,3:27 PM
52,CORD684472HAVPLW22,igidden1f,2018-10-02,5:57 AM
53,KANB405374MFUSDC79,pcaplen1g,2018-09-06,12:11 PM
54,QIVU916740MKORHE41,ghonnan1h,2018-08-07,9:39 AM
55,EAOW017888MXNUZL33,tgeaves1i,2018-03-18,7:21 AM
56,AUQB861691MEJSAQ42,mcarren1j,2018-08-21,6:48 PM
57,VUJP913036MWGQMU96,abernardos1k,2018-06-12,10:25 PM
