id_asistencia,curp,hora_inicio,hora_fin,inicio,fin
1,QOBA065393HBVSOM14,9:26 AM,5:01 PM,2018-04-06,2018-04-08
2,UUYS301957HYCHZL94,11:23 PM,6:05 AM,2018-01-02,2018-08-02
3,OUNW414298HZQHDG82,1:43 PM,6:24 AM,2018-05-23,2018-02-09
4,FOZY861738HANYDQ34,3:58 AM,7:36 AM,2018-01-29,2018-05-11
5,EAAN955015MAILHU30,11:56 AM,6:01 AM,2018-07-08,2018-03-28
6,QUKQ924874MJOSQX13,4:10 AM,5:13 AM,2017-12-11,2018-03-03
7,SUBG399380HYIRUQ51,7:20 PM,6:02 PM,2018-04-16,2018-02-09
8,RAGO561529MCYNJP70,10:04 AM,12:55 AM,2018-04-30,2018-05-29
9,VIFZ412219MDIXZA05,1:29 PM,5:43 PM,2018-01-03,2018-07-02
10,IOJA978866MDWULS86,2:50 AM,4:05 AM,2018-07-29,2017-12-28
11,AUAY416879MNKPWU88,9:19 PM,2:10 PM,2018-04-11,2018-04-06
12,MIQF949148HUDASJ78,7:48 PM,6:01 PM,2018-03-14,2018-05-22
13,ROTU096979MLNATR16,7:47 AM,11:35 AM,2018-08-07,2018-08-30
14,PUCH098715MCLKEW01,10:45 AM,7:56 PM,2018-05-18,2018-03-28
15,MUTO222465MZGHQW97,11:03 PM,9:07 PM,2018-05-25,2018-10-10
16,IUYL124338MTAPUW16,2:39 PM,7:05 PM,2018-01-15,2018-09-16
17,RIPS986374MWNGKE52,7:52 AM,1:44 PM,2018-06-02,2018-09-12
18,AUPI919777HVNRKU80,11:00 AM,3:00 AM,2018-03-04,2018-05-11
19,JUEP204249MVWNLT39,6:12 AM,8:18 PM,2018-09-27,2017-12-03
20,TEDS687080MSOBUW46,1:39 AM,1:57 AM,2018-03-18,2018-04-02
21,HECM417828MJPFMZ71,6:12 AM,7:21 PM,2018-07-16,2018-07-30
22,LUDE682827HRFXEJ69,10:25 AM,2:20 AM,2018-07-27,2018-04-28
23,CUJO076164MYHMIN81,10:57 PM,11:40 PM,2017-11-28,2017-11-21
24,BUYI679931HFHXYR38,11:48 PM,3:55 PM,2018-01-20,2017-10-30
25,CUWF826503MFSQXH67,10:01 PM,3:37 AM,2017-11-15,2018-04-04
26,OACW319467MTILAE66,8:56 PM,11:13 AM,2017-11-02,2018-01-29
27,NUYC602306MTVIRE45,1:02 PM,9:21 PM,2018-02-18,2018-02-13
28,XUTY037558HYGBXS76,9:21 PM,10:31 PM,2018-09-28,2018-01-02
29,OUUA531959HOKRQB43,7:23 PM,9:24 AM,2018-04-22,2018-08-26
30,BURJ012667MZGSVD47,6:35 PM,6:56 AM,2018-06-15,2018-01-07
31,XUTE415746MPRALO20,7:37 AM,4:12 AM,2018-06-28,2018-03-11
32,QUXE691507HZRMEG48,3:14 PM,4:37 PM,2018-09-13,2017-12-03
33,EOMK966235HMWEZI32,6:22 PM,11:03 PM,2018-04-29,2018-03-31
34,NOME193592MENQYX74,8:34 AM,7:10 AM,2018-05-21,2017-11-01
35,YIWI374520MPYTRA22,6:20 AM,10:13 PM,2017-12-01,2018-06-23
36,REOV561010HLWSGD21,1:09 PM,3:32 PM,2017-10-25,2018-01-08
37,QOAH404583HIATOV69,12:50 PM,3:34 AM,2018-06-18,2018-04-28
38,NUNT275671MFJDLN16,3:25 PM,2:31 PM,2018-08-05,2018-02-11
39,TUZA488319MWDGYX86,8:20 PM,10:22 PM,2018-09-14,2018-06-27
40,VUHV561983MAVBTH38,9:45 AM,4:00 AM,2018-05-21,2018-06-01
41,YIAJ596052MHBNDO81,11:52 PM,5:47 AM,2018-05-20,2018-08-01
42,XUAO705887HNYGZE01,9:31 AM,10:22 PM,2017-11-18,2018-05-24
43,TUJM146262HZCJKX69,10:05 AM,5:59 AM,2018-07-19,2018-07-21
44,JUXJ726651MXWEZF43,4:24 PM,7:06 PM,2018-08-02,2018-06-29
45,ZUWM437542MUXWHM27,3:24 PM,2:23 PM,2017-10-21,2018-06-14
46,YUXZ932762HLERNQ56,10:37 PM,10:06 PM,2018-06-19,2018-03-25
47,KUPI218437MUHWBA50,2:35 AM,1:13 AM,2018-06-21,2018-09-25
48,UUFQ367873HLCNHW75,4:35 PM,1:02 AM,2018-09-22,2018-04-25
49,SUWC199241MTLYWM46,5:56 PM,12:11 AM,2018-07-17,2018-04-05
50,AOVQ670415MUWFAB61,2:14 AM,7:04 PM,2018-04-12,2018-06-16
51,AUKX456989MGVHNC84,4:15 AM,12:08 AM,2018-06-17,2018-01-31
52,CORD684472HAVPLW22,7:59 AM,9:20 PM,2018-02-21,2017-12-10
53,KANB405374MFUSDC79,5:23 AM,1:35 AM,2018-10-16,2018-03-21
54,QIVU916740MKORHE41,2:49 AM,5:32 AM,2018-08-24,2018-04-30
55,EAOW017888MXNUZL33,6:22 AM,1:08 PM,2018-08-06,2017-10-29
56,AUQB861691MEJSAQ42,4:14 PM,10:06 PM,2018-04-11,2018-03-16
57,VUJP913036MWGQMU96,7:34 AM,1:40 AM,2017-10-24,2018-07-07
58,XUYF505912MANVFY14,7:59 AM,6:41 PM,2018-09-10,2017-10-23
59,VENG958950HUIKDN45,8:50 PM,4:23 PM,2017-12-21,2018-08-30
60,IUWJ398218MYIOUM51,1:59 PM,11:36 PM,2017-11-08,2018-01-04
61,HOGY882038MHAZRN15,1:22 PM,3:19 PM,2017-12-07,2018-02-26
62,DUSO998194MEWFMZ76,6:56 PM,7:54 AM,2018-02-21,2017-11-09
63,HOFD053980MHFYIB37,2:31 AM,3:16 PM,2018-09-16,2018-01-29
64,POTZ335907HIBHPG22,10:44 AM,4:43 AM,2018-08-11,2018-08-16
65,GUTJ053658HWPGIJ30,12:14 PM,11:50 PM,2017-12-28,2017-11-07
66,FOFO295241HZRXTS00,2:43 AM,9:22 PM,2018-06-08,2018-05-16
67,UIYN795456HJOIFQ77,8:18 AM,3:33 AM,2018-10-08,2018-03-09
68,TUIT453914MNXTVF59,2:15 PM,11:58 PM,2018-06-08,2018-01-21
69,OIBZ169575MWTSYU85,4:31 PM,3:40 PM,2018-01-02,2018-03-12
70,UOJW333135HMRPVN16,11:41 AM,7:24 AM,2017-10-24,2017-12-10
71,KOZJ254694HMRIKT12,11:15 AM,3:46 AM,2018-01-05,2018-06-06
72,OUJT715865HLKFYB52,5:09 PM,12:06 PM,2018-10-02,2018-02-02
73,LIFC494673MDAFKV45,3:03 PM,3:12 PM,2018-06-17,2018-05-18
74,ZULT626084HKFXIZ43,8:02 PM,7:32 AM,2018-07-12,2018-09-09
75,ZUAG484345HIQJEP51,10:50 PM,2:58 PM,2018-01-19,2018-03-10
76,JONP779277MMDNQP70,2:59 AM,11:34 AM,2018-07-20,2018-10-11
77,OOMO048691MNUJOE24,4:16 AM,9:20 PM,2017-11-25,2018-06-16
78,FIIL594400HHWLYI74,6:05 PM,9:00 PM,2018-09-21,2017-10-26
79,YUNM113273MGBKXM21,9:14 PM,7:57 PM,2018-04-24,2017-12-11
80,VIZF294501HPDZIK33,4:35 PM,8:07 AM,2018-02-14,2018-06-30
81,XUPB498322HECKSD88,9:04 PM,3:41 PM,2017-11-22,2018-06-08
82,JUYJ647736HYGQZB40,11:01 AM,4:41 PM,2017-12-17,2018-02-09
83,AOWK218717MZDHNG98,8:31 PM,3:28 AM,2018-07-30,2018-10-04
84,UUQE666881MEBAFI15,1:32 AM,3:41 PM,2018-06-22,2018-08-30
85,YORF448155MDUAJO63,2:11 AM,11:24 AM,2018-09-22,2018-02-14
86,LEFS732874MNLIPZ97,7:08 AM,9:30 PM,2018-03-10,2018-06-05
87,TOOP315382HHUSOT38,3:09 PM,2:55 PM,2018-05-04,2018-06-02
88,QULW419249HIYOZA73,1:41 PM,5:19 PM,2018-09-06,2017-12-17
89,PUHV853593MPGOKA99,10:05 AM,5:28 AM,2018-02-11,2017-11-21
90,VINV003589HFGRBV16,9:18 AM,2:24 AM,2017-10-22,2018-08-25
91,WOXC537358MDISEQ04,6:41 PM,4:02 PM,2018-09-24,2017-10-28
92,RUQZ526534MLAWBK86,3:47 PM,2:49 AM,2018-01-06,2018-09-23
93,JUIK335996HQIZUH25,1:09 AM,10:36 AM,2018-01-13,2018-10-18
94,MUYU827033MKCULZ78,8:53 PM,6:48 AM,2017-12-31,2018-03-05
95,OOJK015112MFYJDN63,11:04 AM,7:31 PM,2018-04-10,2018-06-30
96,OOMK170892MFECHK93,6:08 AM,7:47 AM,2018-06-30,2018-01-07
97,VIBU580479HCTIVD53,11:43 AM,12:01 AM,2018-06-03,2018-04-11
98,TAPW860087MMFTGW98,8:01 PM,3:00 AM,2018-04-18,2018-03-10
99,JUKP265259HJEOFG63,3:57 AM,11:51 PM,2018-07-18,2018-05-08
100,DUQU184813HCUIMD06,10:08 PM,4:00 PM,2018-04-30,2018-04-17
