clave_elector,id_log_preliminar,hora_preliminar,fecha_preliminar,usuario_preliminar,tipo_operacion_preliminar,nombre,paterno,materno,fecha_nacimiento,estado,numero,calle,seccion,correo
KTMQXP68121773H791,1,5:39 AM,2018-10-01,kscargill0,U,Winfred,Count,Austin,2018-01-31,Sonora,86,Monterey,165,rtutsell0@ameblo.jp
AVUPKL97121901M172,2,10:48 PM,2018-09-17,sescalero1,U,Robbert,Willetts,Lechmere,2017-11-22,Guerrero,64,Crescent Oaks,147,agotecliffe1@theatlantic.com
ADPSLB86111880M332,3,8:19 AM,2018-03-16,gschultes2,U,Steffen,Mancktelow,Vaneschi,2018-02-02,Puebla,42,Mitchell,123,gfrowde2@example.com
GLJBQZ94081959H019,4,1:45 AM,2018-05-27,rcapponeer3,I,Jelene,Russon,Sadat,2017-12-24,Guerrero,49,Lakeland,155,gdegregoli3@edublogs.org
JCKIYE92091937H155,5,1:23 AM,2018-06-01,pwildgoose4,U,Blinny,Mapston,Becks,2018-02-13,Oaxaca,40,Pennsylvania,871,pbrantzen4@examiner.com
OFTXKM99110979H611,6,4:35 AM,2018-04-18,sgrimditch5,U,Meade,Formoy,Cummine,2017-11-01,Morelos,79,Raven,562,jgerardi5@prweb.com
FEOVXG66122779M387,7,2:41 AM,2017-12-18,vkidsley6,D,Marketa,Gringley,Alexsandrowicz,2018-04-22,Michoacán,89,Kedzie,277,bguilliland6@hugedomains.com
IWURYH71100779H130,8,12:15 AM,2017-12-23,rmorit7,U,Bobette,Duckerin,Pedrazzi,2018-04-25,Tlaxcala,9,Bay,793,kandre7@shinystat.com
YZMUTC81121732H229,9,1:14 PM,2017-11-25,arangall8,I,Gabi,Connett,Mapis,2018-04-14,Tlaxcala,49,Stoughton,812,bdelayglesias8@nationalgeographic.com
UVMOWX98110989H003,10,9:44 AM,2018-05-09,mofihily9,U,Gayle,Curro,Steagall,2018-08-07,Oaxaca,35,Granby,421,ckassman9@freewebs.com
RWZYPU65120966M653,11,2:23 AM,2018-01-23,lpoundsforda,U,Darelle,Greenhaugh,Corkan,2017-11-24,Ciudad de México,66,Porter,329,caldama@bizjournals.com
PGIDMX88111970M857,12,5:29 AM,2018-01-13,jsymeb,D,Aviva,Brazear,Abramson,2017-12-09,Oaxaca,70,Magdeline,812,mcolmerb@altervista.org
IJSODV96122779M436,13,7:12 AM,2018-09-12,ktorrecillac,D,Kacey,Hayton,Polglaze,2018-01-03,Hidalgo,21,Village,56,dcoultassc@over-blog.com
ZAJTFO72122949H509,14,12:02 AM,2017-11-17,bivettsd,D,Kristopher,Ridesdale,Ropartz,2018-06-24,Guerrero,97,Forest,343,tpickavanced@oaic.gov.au
