idlog_aprobado,curp,hora_modificacion,usuario,tipo_Operacion,fecha_modificacion
56,QOBA065393HBVSOM14,7:19 PM,bheindl0,I,2018-10-01
11,UUYS301957HYCHZL94,4:31 PM,kclulee1,U,2018-09-17
39,OUNW414298HZQHDG82,4:01 AM,jlearmount2,I,2018-03-16
79,FOZY861738HANYDQ34,7:37 AM,gpentelo3,I,2018-05-27
32,EAAN955015MAILHU30,3:52 PM,hleggin4,U,2018-06-01
4,QUKQ924874MJOSQX13,5:20 AM,akarolyi5,U,2018-04-18
49,SUBG399380HYIRUQ51,9:12 AM,cpiscotti6,D,2017-12-18
15,RAGO561529MCYNJP70,7:05 AM,jleeburne7,D,2017-12-23
94,VIFZ412219MDIXZA05,10:47 AM,eandrat8,U,2017-11-25
88,IOJA978866MDWULS86,6:05 AM,dphiller9,D,2018-05-09
25,AUAY416879MNKPWU88,10:49 AM,hhruskaa,I,2018-01-23
16,MIQF949148HUDASJ78,8:02 AM,rhamsteadb,I,2018-01-13
12,ROTU096979MLNATR16,4:25 PM,jgoodyc,I,2018-09-12
20,PUCH098715MCLKEW01,4:40 AM,chebbrond,I,2017-11-17
51,MUTO222465MZGHQW97,9:48 AM,ibrosiuse,U,2018-02-01
6,IUYL124338MTAPUW16,6:55 PM,jdemeltf,D,2018-02-05
77,RIPS986374MWNGKE52,1:33 AM,icoleborng,U,2018-06-19
64,AUPI919777HVNRKU80,1:44 AM,thableth,U,2018-01-13
83,JUEP204249MVWNLT39,4:22 PM,anorthingi,D,2018-10-08
98,TEDS687080MSOBUW46,8:17 AM,sjanwayj,D,2018-07-21
28,HECM417828MJPFMZ71,4:03 PM,avoycek,U,2018-05-27
50,LUDE682827HRFXEJ69,1:28 AM,tbittanyl,I,2018-01-19
21,CUJO076164MYHMIN81,2:46 AM,lwalkleym,I,2018-06-02
62,BUYI679931HFHXYR38,11:28 AM,llinseyn,U,2018-01-21
27,CUWF826503MFSQXH67,7:10 PM,gkelceyo,D,2018-08-15
77,OACW319467MTILAE66,8:00 PM,emunneryp,U,2018-04-09
10,NUYC602306MTVIRE45,2:28 PM,svlachq,I,2018-05-19
37,XUTY037558HYGBXS76,1:54 PM,acroydenr,I,2018-09-13
54,OUUA531959HOKRQB43,3:40 PM,kidendens,U,2018-07-27
24,BURJ012667MZGSVD47,11:46 AM,trockallt,I,2018-03-15
21,XUTE415746MPRALO20,3:41 AM,dpetriu,I,2018-01-19
92,QUXE691507HZRMEG48,4:48 AM,clabrouev,U,2018-05-20
91,EOMK966235HMWEZI32,1:23 PM,dmapstonew,I,2018-02-04
99,NOME193592MENQYX74,1:58 PM,hshaplandx,U,2018-07-25
6,YIWI374520MPYTRA22,10:45 PM,epourey,I,2018-01-06
68,REOV561010HLWSGD21,12:42 AM,mperrycostz,I,2018-08-27
87,QOAH404583HIATOV69,2:01 PM,afilde10,I,2018-10-04
61,NUNT275671MFJDLN16,3:37 AM,cjutson11,U,2018-05-04
27,TUZA488319MWDGYX86,3:10 AM,zmuro12,I,2018-09-09
57,VUHV561983MAVBTH38,2:17 PM,abartosch13,U,2018-07-06
44,YIAJ596052MHBNDO81,1:08 PM,agrace14,I,2018-06-05
91,XUAO705887HNYGZE01,4:05 PM,agonet15,D,2018-08-25
54,TUJM146262HZCJKX69,4:43 AM,bmcteer16,U,2018-05-11
10,JUXJ726651MXWEZF43,7:28 AM,lluisetti17,D,2017-12-03
15,ZUWM437542MUXWHM27,4:06 AM,cstanhope18,I,2017-11-30
47,YUXZ932762HLERNQ56,8:51 AM,tridgley19,U,2018-06-05
53,KUPI218437MUHWBA50,1:43 PM,rbresson1a,D,2018-02-27
15,UUFQ367873HLCNHW75,6:28 PM,ibarthot1b,U,2018-06-16
11,SUWC199241MTLYWM46,12:01 AM,cdonner1c,I,2018-08-24
21,AOVQ670415MUWFAB61,9:25 PM,cmayou1d,I,2018-05-07
86,AUKX456989MGVHNC84,6:03 PM,ehickenbottom1e,D,2018-08-21
92,CORD684472HAVPLW22,5:01 PM,jwraith1f,D,2018-01-20
89,KANB405374MFUSDC79,8:14 AM,wspurriar1g,D,2018-04-22
97,QIVU916740MKORHE41,9:46 PM,sdearlove1h,D,2018-09-30
22,EAOW017888MXNUZL33,2:49 PM,clangwade1i,U,2018-01-05
35,AUQB861691MEJSAQ42,2:59 PM,scud1j,U,2017-10-30
52,VUJP913036MWGQMU96,8:55 PM,dfarrall1k,D,2018-07-24
76,XUYF505912MANVFY14,5:25 PM,jhessing1l,D,2018-09-09
62,VENG958950HUIKDN45,2:24 AM,bcarletto1m,I,2018-04-14
86,IUWJ398218MYIOUM51,10:43 AM,bdienes1n,U,2018-08-20
36,HOGY882038MHAZRN15,4:34 AM,msarsfield1o,I,2018-01-25
3,DUSO998194MEWFMZ76,6:32 AM,tordelt1p,D,2017-11-12
5,HOFD053980MHFYIB37,1:21 PM,smart1q,U,2018-03-03
41,POTZ335907HIBHPG22,12:39 PM,zwrassell1r,U,2018-08-18
71,GUTJ053658HWPGIJ30,1:38 PM,efere1s,D,2018-01-12
47,FOFO295241HZRXTS00,4:22 PM,aleahey1t,I,2018-07-28
34,UIYN795456HJOIFQ77,10:20 AM,cfranscioni1u,I,2017-12-26
49,TUIT453914MNXTVF59,3:27 AM,bwhiskin1v,I,2018-03-16
24,OIBZ169575MWTSYU85,10:51 PM,lelsay1w,U,2017-10-19
73,UOJW333135HMRPVN16,5:50 PM,mpeople1x,I,2018-09-01
57,KOZJ254694HMRIKT12,1:35 PM,jsandwith1y,D,2018-10-07
67,OUJT715865HLKFYB52,8:57 PM,cgillcrist1z,D,2018-01-23
36,LIFC494673MDAFKV45,7:39 PM,ssharpus20,I,2018-10-17
38,ZULT626084HKFXIZ43,10:06 AM,fswaffer21,U,2018-06-07
65,ZUAG484345HIQJEP51,6:51 AM,rdundendale22,D,2017-12-05
90,JONP779277MMDNQP70,3:05 AM,brichardet23,D,2018-07-09
87,OOMO048691MNUJOE24,10:42 PM,cneilands24,I,2018-04-08
95,FIIL594400HHWLYI74,5:44 PM,myurukhin25,U,2017-10-31
45,YUNM113273MGBKXM21,9:27 PM,iserjent26,U,2017-11-04
19,VIZF294501HPDZIK33,10:53 AM,rlammers27,U,2018-07-01
87,XUPB498322HECKSD88,2:57 AM,ttollow28,U,2018-09-28
83,JUYJ647736HYGQZB40,3:04 PM,ggiamuzzo29,I,2018-07-25
76,AOWK218717MZDHNG98,10:26 AM,egaymer2a,U,2018-09-02
7,UUQE666881MEBAFI15,5:45 AM,srenshell2b,D,2018-08-24
8,YORF448155MDUAJO63,10:41 PM,ddesaur2c,U,2018-10-06
97,LEFS732874MNLIPZ97,11:15 PM,heicheler2d,D,2018-04-18
16,TOOP315382HHUSOT38,7:03 PM,lgordongiles2e,I,2017-11-13
51,QULW419249HIYOZA73,7:13 PM,moslar2f,I,2018-01-17
11,PUHV853593MPGOKA99,5:23 AM,aayer2g,U,2018-08-09
62,VINV003589HFGRBV16,12:02 AM,wdarbon2h,D,2018-07-15
99,WOXC537358MDISEQ04,11:08 PM,dcollumbine2i,U,2018-03-05
53,RUQZ526534MLAWBK86,3:20 PM,dharmour2j,D,2018-06-28
62,JUIK335996HQIZUH25,2:54 AM,kchestle2k,I,2018-08-23
100,MUYU827033MKCULZ78,1:29 AM,aclingan2l,U,2017-12-09
41,OOJK015112MFYJDN63,2:37 AM,mringer2m,D,2018-10-07
65,OOMK170892MFECHK93,6:57 PM,dcush2n,I,2018-10-13
47,VIBU580479HCTIVD53,5:10 PM,dtune2o,D,2018-04-30
18,TAPW860087MMFTGW98,11:37 PM,dklain2p,I,2018-02-24
47,JUKP265259HJEOFG63,5:41 PM,kladson2q,U,2018-04-20
93,DUQU184813HCUIMD06,5:16 AM,tmussettini2r,D,2018-06-05
