curp,id_repsustituido,fecha_sustitucion,hora_sustitucion,id_rep_preliminar
QOBA065393HBVSOM14,1,2018-07-04,10:10 AM,1
UUYS301957HYCHZL94,2,2018-02-02,7:18 PM,2
OUNW414298HZQHDG82,3,2017-12-24,5:25 PM,3
FOZY861738HANYDQ34,4,2018-01-31,9:39 AM,4
EAAN955015MAILHU30,5,2018-09-17,8:38 PM,5
QUKQ924874MJOSQX13,6,2018-02-26,2:46 AM,6
SUBG399380HYIRUQ51,7,2018-08-28,6:23 PM,7
RAGO561529MCYNJP70,8,2017-11-15,10:33 PM,8
VIFZ412219MDIXZA05,9,2018-02-06,10:57 AM,9
IOJA978866MDWULS86,10,2018-09-04,9:19 PM,10
AUAY416879MNKPWU88,11,2018-10-16,6:05 PM,11
MIQF949148HUDASJ78,12,2018-02-20,4:05 AM,12
ROTU096979MLNATR16,13,2017-11-13,11:39 PM,13
PUCH098715MCLKEW01,14,2018-05-01,2:52 AM,14
MUTO222465MZGHQW97,15,2018-09-08,10:49 PM,15
IUYL124338MTAPUW16,16,2017-11-23,10:51 AM,16
RIPS986374MWNGKE52,17,2018-05-25,1:41 AM,17
AUPI919777HVNRKU80,18,2018-01-02,2:50 AM,18
JUEP204249MVWNLT39,19,2018-05-29,6:09 PM,19
TEDS687080MSOBUW46,20,2018-09-24,9:36 AM,20
HECM417828MJPFMZ71,21,2018-05-19,10:34 AM,21
LUDE682827HRFXEJ69,22,2018-09-25,10:10 PM,22
CUJO076164MYHMIN81,23,2018-01-08,8:17 AM,23
BUYI679931HFHXYR38,24,2018-06-15,1:33 PM,24
CUWF826503MFSQXH67,25,2018-04-19,1:49 PM,25
OACW319467MTILAE66,26,2018-01-22,7:31 PM,26
NUYC602306MTVIRE45,27,2018-09-09,7:43 AM,27
XUTY037558HYGBXS76,28,2017-12-23,2:39 PM,28
OUUA531959HOKRQB43,29,2018-07-26,9:26 AM,29
BURJ012667MZGSVD47,30,2018-02-13,1:56 AM,30
XUTE415746MPRALO20,31,2018-08-19,4:51 AM,31
QUXE691507HZRMEG48,32,2018-03-11,5:11 AM,32
