curp ,id_asistencia
QOBA065393HBVSOM14,1
UUYS301957HYCHZL94,2
OUNW414298HZQHDG82,3
FOZY861738HANYDQ34,4
EAAN955015MAILHU30,5
QUKQ924874MJOSQX13,6
SUBG399380HYIRUQ51,7
RAGO561529MCYNJP70,8
VIFZ412219MDIXZA05,9
IOJA978866MDWULS86,10
AUAY416879MNKPWU88,11
MIQF949148HUDASJ78,12
ROTU096979MLNATR16,13
PUCH098715MCLKEW01,14
MUTO222465MZGHQW97,15
IUYL124338MTAPUW16,16
RIPS986374MWNGKE52,17
AUPI919777HVNRKU80,18
JUEP204249MVWNLT39,19
TEDS687080MSOBUW46,20
HECM417828MJPFMZ71,21
LUDE682827HRFXEJ69,22
CUJO076164MYHMIN81,23
BUYI679931HFHXYR38,24
CUWF826503MFSQXH67,25
OACW319467MTILAE66,26
NUYC602306MTVIRE45,27
XUTY037558HYGBXS76,28
OUUA531959HOKRQB43,29
BURJ012667MZGSVD47,30
XUTE415746MPRALO20,31
QUXE691507HZRMEG48,32
EOMK966235HMWEZI32,33
NOME193592MENQYX74,34
YIWI374520MPYTRA22,35
REOV561010HLWSGD21,36
QOAH404583HIATOV69,37
NUNT275671MFJDLN16,38
TUZA488319MWDGYX86,39
VUHV561983MAVBTH38,40
YIAJ596052MHBNDO81,41
XUAO705887HNYGZE01,42
TUJM146262HZCJKX69,43
JUXJ726651MXWEZF43,44
ZUWM437542MUXWHM27,45
YUXZ932762HLERNQ56,46
KUPI218437MUHWBA50,47
UUFQ367873HLCNHW75,48
SUWC199241MTLYWM46,49
AOVQ670415MUWFAB61,50
AUKX456989MGVHNC84,51
CORD684472HAVPLW22,52
KANB405374MFUSDC79,53
QIVU916740MKORHE41,54
EAOW017888MXNUZL33,55
AUQB861691MEJSAQ42,56
VUJP913036MWGQMU96,57
XUYF505912MANVFY14,58
VENG958950HUIKDN45,59
IUWJ398218MYIOUM51,60
HOGY882038MHAZRN15,61
DUSO998194MEWFMZ76,62
HOFD053980MHFYIB37,63
POTZ335907HIBHPG22,64
GUTJ053658HWPGIJ30,65
FOFO295241HZRXTS00,66
UIYN795456HJOIFQ77,67
TUIT453914MNXTVF59,68
OIBZ169575MWTSYU85,69
UOJW333135HMRPVN16,70
KOZJ254694HMRIKT12,71
OUJT715865HLKFYB52,72
LIFC494673MDAFKV45,73
ZULT626084HKFXIZ43,74
ZUAG484345HIQJEP51,75
JONP779277MMDNQP70,76
OOMO048691MNUJOE24,77
FIIL594400HHWLYI74,78
YUNM113273MGBKXM21,79
VIZF294501HPDZIK33,80
XUPB498322HECKSD88,81
JUYJ647736HYGQZB40,82
AOWK218717MZDHNG98,83
UUQE666881MEBAFI15,84
YORF448155MDUAJO63,85
LEFS732874MNLIPZ97,86
TOOP315382HHUSOT38,87
QULW419249HIYOZA73,88
PUHV853593MPGOKA99,89
VINV003589HFGRBV16,90
WOXC537358MDISEQ04,91
RUQZ526534MLAWBK86,92
JUIK335996HQIZUH25,93
MUYU827033MKCULZ78,94
OOJK015112MFYJDN63,95
OOMK170892MFECHK93,96
VIBU580479HCTIVD53,97
TAPW860087MMFTGW98,98
JUKP265259HJEOFG63,99
DUQU184813HCUIMD06,100
