CURP,numProy,fecha_inicio_colaborar,fecha_fin_colaborar,numHoras
GUNV600734MNEVQL89,1,2012-10-31,2018-10-06,22
RUCE488332MNERDQ53,2,2011-09-15,2018-10-27,21
EUDG233891MYNXZV20,3,2012-09-17,2016-02-29,20
MIOB604635MNELMP89,4,2016-03-20,2018-08-22,23
IIRM940441HNETFE41,5,2017-01-02,2017-07-23,20
EUDU187775HTSHBE60,6,2000-09-12,2017-05-06,24
MUPT943961MZSXTU09,7,2007-11-03,2018-10-05,20
JUUT249270HVZKFX61,8,2004-10-11,2017-11-24,22
RUQA879249HNEWGK66,9,2017-06-08,2017-11-20,21
JOEH122580MNEPBA13,10,2010-09-10,2018-08-12,24
FUXT804499MNEMBR92,11,2012-10-19,2016-08-03,24
JUIX759746HNEKSI83,12,2000-10-15,2016-02-15,24
QONV586423MTLJXB76,13,2007-06-02,2018-01-28,21
IINY046087HYNRBP57,14,2010-09-15,2018-02-05,20
CEXZ545762HNEWXT96,15,2017-05-16,2017-11-04,22
YEFO597586HNEQRH14,16,2001-03-17,2018-01-24,22
AOBR034506HVZDZS40,17,2002-01-08,2018-07-23,20
WUEW662796HZSBFE70,18,2013-01-19,2016-12-27,20
GUTX360756MZSVQL65,19,2007-07-09,2018-05-21,22
CUZH600300HVZLQV10,20,2007-01-18,2018-01-03,24
JUZF997854MNEBAM93,21,2006-03-28,2017-04-09,22
XOUG569694MNEHBT70,22,2000-05-09,2017-07-18,22
DOQF510401MNECDK69,23,2004-06-30,2018-03-21,23
ZUIJ912140MNEIZM80,24,2011-10-03,2016-02-19,23
VIIH789853HNEYLH54,25,2004-01-23,2018-02-08,24
EIQL352656MNEYDR62,26,2014-12-07,2018-02-05,23
ZOUT938154HZSMQC90,27,2001-01-10,2016-10-11,22
FOMY135627MNEHXZ35,28,2015-05-27,2018-09-15,21
VUMS626279MZSNZS43,29,2006-12-07,2016-06-04,22
FOGY890028HZSBRO24,30,2005-05-30,2016-10-22,24
EUNP094906HNEOQK29,31,2001-01-13,2016-08-30,24
OOFN782984HYNIEV91,32,2006-03-12,2017-05-19,22
SUCU418549HZSBFS35,33,2008-10-11,2017-05-01,21
NOZU243334HNEXHS54,34,2008-11-15,2017-05-09,24
JUSN681500HNEFQD35,35,2006-11-01,2016-02-17,24
GAQX014821MNETBG68,36,2014-01-24,2017-03-21,21
MOQH720419MNEPVA78,37,2012-01-22,2018-07-14,23
GOQE732299HNEBUH94,38,2016-07-11,2016-08-09,21
TAOC932499MYNISL70,39,2003-02-06,2018-10-17,21
RUIN154458MZSBCX74,40,2014-03-01,2016-07-17,22
MULX479776MZSYUR80,41,2009-01-10,2018-09-07,21
XUPO441744HNEWDB35,42,2006-09-17,2017-11-28,23
EUYN961882HVZSVP76,43,2007-07-25,2018-05-21,24
LUHR722891HZSTJR14,44,2010-03-27,2018-01-31,21
GOAQ650245MNEDQU32,45,2001-08-17,2017-07-31,23
GULB851784MYNSXE53,46,2009-11-01,2018-05-06,23
WUFL683709MZSKEA52,47,2004-09-01,2016-10-25,24
OAGT152119MZSXGJ32,48,2013-11-08,2018-07-10,21
ZIXL975594HVZWQM65,49,2011-12-14,2018-03-23,20
UUPE840085HYNOZR47,50,2006-10-26,2017-01-01,22
SUJG937244HZSHOQ50,51,2014-11-07,2017-05-17,22
SOXV773998HNEVWY39,52,2016-03-09,2017-05-03,22
SILU786919MTSMDN07,53,2006-05-14,2016-04-06,23
KUAE329445MNELQC26,54,2015-10-27,2016-03-05,22
ZOFY900821HNEDTM99,55,2001-08-23,2016-08-17,23
MUZS255958HNEVFK05,56,2002-10-28,2016-02-06,20
HUPN163721MNEUMK21,57,2004-09-27,2016-12-18,22
BOAT802187HNEQUY44,58,2000-12-17,2018-08-10,21
BOVB224327HNEPCE05,59,2014-03-27,2018-07-21,22
UIKM304066MNEDOT89,60,2002-09-26,2016-05-16,24
GOBY477032MNELVM44,61,2014-01-03,2016-09-09,24
MILW563807MNEIWR39,62,2008-09-06,2018-04-10,22
YEAZ611576HZSSZO72,63,2014-07-19,2018-11-08,20
MOXJ671307HZSVMC08,64,2008-03-13,2016-01-28,22
KUNR805447HZSMQV98,65,2002-07-21,2016-12-15,24
FOGV360468HNEQCI54,66,2005-03-07,2017-02-03,20
JUMG462736HTSKHB38,67,2016-06-29,2017-05-31,22
XUCI785654MZSBPM88,68,2003-12-13,2018-08-09,20
OUXM294584HNEQCG31,69,2008-04-03,2016-05-01,24
QUPF671303HNENQL58,70,2011-04-03,2018-02-23,23
EUKT657760MNEBWK35,71,2014-06-18,2017-07-16,23
AUFR711622HZSHYP10,72,2011-11-21,2016-08-23,24
OUBH096462HNEOTZ66,73,2014-04-15,2017-08-04,21
RUVC120682MYNNRJ09,74,2010-01-12,2017-02-16,22
JIJQ506588HNEKDC30,75,2015-09-08,2017-02-07,22
UUUM559100HNEQIP12,76,2006-08-01,2018-03-10,21
EOOJ513432MVZKMH08,77,2016-12-30,2017-03-15,24
HUBM601387HNEQSK31,78,2016-04-27,2016-09-11,22
AOWB231671HNEDPK36,79,2009-03-26,2016-07-31,22
EOMX717016MNEUFZ46,80,2015-01-12,2018-10-13,22
IUZS389648MNEWKS71,81,2005-01-10,2016-05-12,21
FUMQ777730HNETRP20,82,2000-12-13,2018-06-16,21
FUTV034461MNEKEQ63,83,2010-10-29,2017-03-03,21
XENA585216HNEQRG06,84,2016-09-20,2017-12-31,23
CUFY758468HTSEPS03,85,2008-06-11,2016-03-20,21
AUJG556249MNEMXD82,86,2004-11-26,2016-02-21,23
TAXH588474MNELTD61,87,2014-10-11,2018-04-16,23
TIZY634500HYNVHI18,88,2000-12-05,2018-03-16,20
RORD710658MNEBTM82,89,2003-07-14,2016-04-26,24
EUNV152433HNEALB17,90,2007-07-18,2017-05-14,24
MIZQ516357MNEIRE59,91,2009-07-16,2016-07-01,21
DOPJ649771MZSFRO20,92,1990-10-09,2018-10-03,23
UIEM344024MNEIYN07,93,2006-07-01,2016-12-27,20
HUUA247353HZSRAD38,94,2005-03-16,2018-03-30,21
CIKD747674HZSMTW22,95,2010-03-07,2016-11-26,20
RURB635794MZSZVH93,96,2003-05-20,2017-09-30,21
CIPZ118727MNERGH91,97,2015-10-14,2016-03-26,23
YUHJ431741MVZJZU07,98,2001-03-04,2017-04-23,20
NUKY279967MNEGFT22,99,2014-02-10,2017-03-30,23
OIKP469817MZSFWA46,100,2005-02-06,2018-11-04,23
SUJG937244HZSHOQ50,1,2006-04-21,2016-12-26,22
SOXV773998HNEVWY39,2,2011-12-18,2017-04-20,24
SILU786919MTSMDN07,3,2007-01-08,2016-06-01,24
KUAE329445MNELQC26,4,2013-12-07,2018-02-07,22
ZOFY900821HNEDTM99,5,2004-10-26,2016-09-09,21
MUZS255958HNEVFK05,6,2008-03-06,2017-05-27,24
HUPN163721MNEUMK21,7,2003-06-01,2016-10-02,24
BOAT802187HNEQUY44,8,2015-12-22,2016-10-14,21
BOVB224327HNEPCE05,9,2014-10-08,2018-09-12,23
UIKM304066MNEDOT89,10,2008-11-08,2018-01-02,21
GOBY477032MNELVM44,11,2010-08-10,2018-01-30,21
MILW563807MNEIWR39,12,2013-01-26,2016-11-21,22
YEAZ611576HZSSZO72,13,2012-12-19,2018-06-24,21
MOXJ671307HZSVMC08,14,2010-02-06,2016-06-23,23
KUNR805447HZSMQV98,15,2004-02-01,2018-07-25,24
FOGV360468HNEQCI54,16,2014-08-18,2017-04-28,21
JUMG462736HTSKHB38,17,2011-11-26,2016-01-17,23
XUCI785654MZSBPM88,18,2013-07-07,2018-02-10,23
OUXM294584HNEQCG31,19,2012-09-08,2016-07-09,24
QUPF671303HNENQL58,20,2010-05-09,2016-05-02,21
EUKT657760MNEBWK35,21,2015-04-16,2017-11-01,20
AUFR711622HZSHYP10,22,2012-07-28,2016-06-28,22
OUBH096462HNEOTZ66,23,2003-05-03,2017-03-18,22
RUVC120682MYNNRJ09,24,2014-10-05,2016-08-11,22
JIJQ506588HNEKDC30,25,2014-03-14,2018-08-28,23
UUUM559100HNEQIP12,26,2012-05-08,2017-08-12,22
EOOJ513432MVZKMH08,27,2005-04-03,2017-11-10,23
HUBM601387HNEQSK31,28,2015-03-14,2016-09-21,20
AOWB231671HNEDPK36,29,2013-07-16,2016-06-19,22
EOMX717016MNEUFZ46,30,2018-05-13,2018-08-16,21
IUZS389648MNEWKS71,31,2007-08-06,2016-04-26,22
FUMQ777730HNETRP20,32,2010-06-13,2016-05-06,24
FUTV034461MNEKEQ63,33,2013-01-09,2018-08-16,24
XENA585216HNEQRG06,34,2009-09-29,2017-12-08,22
CUFY758468HTSEPS03,35,2002-11-02,2018-07-24,20
AUJG556249MNEMXD82,36,2007-10-18,2017-11-01,22
TAXH588474MNELTD61,37,2008-07-18,2018-01-16,24
TIZY634500HYNVHI18,38,2000-05-14,2017-06-20,20
RORD710658MNEBTM82,39,2008-08-13,2017-06-07,22
EUNV152433HNEALB17,40,2014-02-19,2017-05-18,20
MIZQ516357MNEIRE59,41,2005-05-15,2016-06-11,24
DOPJ649771MZSFRO20,42,2000-12-07,2016-03-18,23
UIEM344024MNEIYN07,43,2005-06-01,2017-07-02,23
HUUA247353HZSRAD38,44,2005-08-28,2017-02-16,24
CIKD747674HZSMTW22,45,2002-05-13,2016-03-18,21
RURB635794MZSZVH93,46,2007-01-11,2016-11-18,22
CIPZ118727MNERGH91,47,2006-06-29,2017-04-26,22
YUHJ431741MVZJZU07,48,2013-11-26,2016-08-22,21
NUKY279967MNEGFT22,49,2009-11-20,2016-08-26,24
OIKP469817MZSFWA46,50,2014-10-05,2018-05-05,22
UORA607449MNEEKG54,1,2001-04-08,2016-11-27,23
LANX055956MTSRFG03,1,2014-02-19,2017-05-18,25
IIEK157248HNEFWG28,1,2005-05-15,2016-06-11,27
