CURP,RFC,fecha_inicio_dirigir
XIUW842198HZSLVW27,RUIH670388TD9,2018-02-25
QIUY404324MNENBT63,RUEY739867PI5,2015-01-23
JUAZ526048MNEMDT76,WOED235362IY8,2017-12-28
NOZU436254MNEBLH46,KOWB650129VS6,2015-12-03
KUFY957301HNEAWC71,KOZC593287KJ4,2017-10-14
YAAM670952HNETJO86,GODF055695DX9,2015-10-07
EOWK580694HTLQFW10,DUQE768709WH2,2014-12-28
LIPU077456HZSHGX56,AUWF146784MT8,2017-01-17
YIWU904885HZSUHP35,MUEK003925IU8,2015-08-28
FALV121476MNESHC27,OUZX974528PA7,2017-05-04
FIFU656454MYNNRZ15,XOQD459393HJ0,2016-03-04
WUUB523443MNENGB29,UOCQ961816CD6,2016-12-25
IIXP069473HNEEJL15,AUHS459239NT1,2017-06-18
JUIX759746HNEKSI83,YIQS526745VC9,2017-07-25
PEAQ854102MNEWIL30,ZIBI569183ES6,2016-06-06
IUPZ110676MSRHCV73,JUVA999121UG7,2015-01-11
YUEI352830HZSNMG78,ZOWK199647DS1,2016-08-13
QEKV580014HZSIUZ84,JUUK986976RP1,2017-03-20
BOLB398562HYNEZM62,ROWY582510GJ2,2015-10-21
MUIL926292MZSKRZ87,DUNS309744MY2,2017-05-08
ZIYK790835MNEDHI93,HEJH712782KD3,2017-07-29
IOPN927095MYNSMO51,BOWQ689000YP1,2015-05-25
LOGR383909HTSUFR37,UUUI326180DF8,2016-12-23
VOLJ020263MZSOIH29,VUHL028998RO5,2015-12-13
IUWN533336HNECTX27,DUXG314522YH8,2017-02-15
TIJL701777HVZICS03,PUXL036650OF2,2016-01-06
OODT838335MNEOMH25,KICZ585799KM5,2017-08-05
JORE196435MZSJQV14,LUFL129220JQ7,2016-09-05
TUTH634489HYNZQI86,IUTY773652SG6,2015-05-29
ZUUK562435MNEYBC43,AUVX070400PG8,2015-08-12
SOEC847079HZSSKI18,REWJ526488SB9,2018-07-07
YIUD726597HYNFZC21,SUCL465717HE4,2015-11-16
EUJG466973MVZXIE15,BITR746068AU9,2018-08-14
YIJU192591HYNXBV76,BIHR592094PI5,2016-07-06
EAWP314096HVZECK67,YUNM543473EO7,2015-05-27
XATL726398HZSWBT77,LOUZ278528FN5,2018-07-30
KUKU121813MNEDZU71,PAVT091003YV1,2017-02-21
NOYW112962MTCNHF42,IIKB100592XG4,2015-07-25
GUQO289643MNEUXY97,ZOQM449983DP7,2015-02-25
GUPF771495HNEWSU81,RIHK121705XT6,2017-09-05
GOCI947960MNEHVD79,MOCU168474NZ3,2017-11-18
RUJL041639MYNWDQ23,WUKX892520JD7,2018-10-16
WUFU667443MZSJFS03,TEOS969482OH0,2017-09-09
MUHD825208HNEVLB32,WUKM141057FN8,2018-08-18
COQT052224HZSYUM97,DOHC472307LS9,2016-06-12
QUJB312641MNEZFB84,EUMO955873GX1,2015-02-06
KOPG644873HNEEAR65,RIXW045170XN6,2016-01-04
IUVS025189HNEEBD01,ZUQE815065LZ9,2018-05-21
AUKI760794HVZEKX52,MUKR675375NC5,2016-10-14
KUOB623169MNELKJ46,BOJA673760GS3,2017-11-12
ZIKT389517HNEAFC13,DEWH268806NR5,2016-03-18
JUYD511390MNEAPR51,COSH865735NH0,2017-09-22
NUPK661389MZSWZG41,TUND293325ZG0,2015-03-05
HAPT924797MNEBJG93,FIAV141431QJ2,2016-06-04
NOQE419879HNEZBL21,JEMD005126ZI5,2018-07-27
GUAD954387HTLIMU26,CEPQ170988RV7,2017-04-21
DUQU364652HNEEFI36,TUVI745406XS8,2015-04-07
JIRZ748254MNEEAU05,WULY471964BP3,2017-08-19
GUCB983702MZSFTG91,GONR568504RG7,2018-10-20
RUJE993719HNEXDL76,TAUL472727HM6,2016-01-22
BUJH532348HTLGNP78,LAXF026575FD4,2018-05-27
POUJ631378HNEOYF15,XUNV692743EL6,2017-03-14
VIFJ553397MZSMYD91,AIVW495858TP8,2016-04-10
XUXE834961HYNWRK15,GOAK453379RD7,2016-03-10
LAFG962239MNEINK75,LUQZ435592KY8,2016-04-12
CUSH223972MYNROC94,CEQT020635XP9,2015-10-08
TUBM929126MNEXQJ29,HOWQ580779GP9,2015-03-26
RAJS947728HNEAIL15,ZUIU100377PD9,2015-04-14
TOLW768085HYNJSE00,FUPW244479UJ5,2015-11-15
XUJI466068HVZFHM53,IUGR503105RT9,2014-11-27
IUUR743217HNEDYL92,WUJK340812FB9,2018-02-11
VAOF147833MNESQO54,UUBE078823ML1,2018-05-03
EUGA423129HNENOQ08,MUXR042640UI2,2017-07-04
NEUC704928MVZRGM61,BUMB579386EN1,2018-02-10
XUUO504996MNEVZU57,HEJY791725PC4,2015-10-24
KUQJ965006MNEHRK17,EEUV346394LA8,2018-01-25
KAOR285582MNETLM35,MOQO580337VK0,2018-03-01
VIAI409840MNEHZX90,RUNE461476TS9,2017-01-31
QUDR389673HZSFKD67,EUEV461889BD5,2017-12-07
GUMC005237HZSBRX94,GAGS843136PY6,2018-03-14
EUPO108752HZSXKL91,EUXV232594RO1,2015-11-29
VIWV661449HTLJPM44,BUZB339509SX6,2018-06-29
HUOH796875HNEXWN74,CUKI194804UW4,2017-05-25
AUAB008887MNEBJD01,JILI292579UY6,2017-03-04
WICP628816MVZHZG36,MUZL436243RV3,2015-08-13
RUKN223385HNELXP36,IEBV647414ZK4,2014-12-04
LIEI613132HZSWSL91,RUAZ253180IL0,2015-05-17
BIFJ136365HVZWRA47,GOPV470874IX9,2017-08-25
GEHW239730HZSRQW47,FOLE160568DI9,2015-03-20
BAMF837454MYNNCX89,IEPQ867794MS6,2017-11-26
AIVC074056HNEZGD83,TELR897908PK4,2017-04-07
OOIH010742MVZFAB54,MUMA041664FN6,2015-12-26
CUHA320494MNELBD55,JUBN919664KF7,2015-08-20
ZUBW208890MNEQSK46,YUYJ226819BX5,2015-06-02
KEAV244975MVZNKP51,JUZQ607662MU8,2017-02-24
WIMW478912HNEAEH46,HOTC824866YG8,2017-08-09
EACA366787MZSYSO06,BAWH739537IO1,2017-02-12
OOJP743398MNEHRF20,TOBM242302DM0,2016-11-03
YOCT873514MZSPGI54,FUUQ846093VN4,2015-07-09
GIJW539731MNEHKB57,NUDN563174BQ3,2018-09-07
