CURP,nombre,paterno,materno,f_nac,calle,num,ciudad,CP
UORA607449MNEEKG54,Clair,Carleton,Vellender,1987-08-29,Cody,9505,Perbaungan,10497
LANX055956MTSRFG03,Kaile,Barron,Menilove,1982-01-17,Northland,7,Osinniki,27195
IIEK157248HNEFWG28,Zechariah,Iaduccelli,Astie,1992-09-12,Sage,9,Bojongsari,52594
FIZD841918MNEZTM26,Lorie,Spurgin,Booton,1994-01-04,Eastlawn,4848,Alor Setar,90075
KAMJ582926MYNJYD93,Cicely,Vigurs,MacLennan,1986-02-25,Melody,2079,Nicosia,24087
IUST985301MNEXAK33,Gabe,Cornell,Pendergast,1965-07-09,Walton,50,Banjar Dharmasemedi,14521
BUWH488937HNEOAR53,Hansiain,Ganiford,Buttery,1984-10-15,Warner,7,Guihulngan,46759
QUVA964623MYNYXM52,Blinni,Brideoke,Raincin,1972-05-03,Scoville,44,Adraskan,55162
UOXF832606MZSGFH34,Eolande,Littlejohns,Duignan,1986-10-21,Rutledge,168,Shuiyang,88825
ZODJ100555HNECXE76,Mavra,Flexman,Vibert,1988-12-29,Forster,327,Dikirnis,32182
JUIJ680369HNECVG07,Sloan,Dunge,Carpenter,1961-02-09,Arrowood,6865,Caburan,85807
NIJF393827MZSLFG78,Prudence,Enderby,Moynham,1971-09-16,Duke,95,Tangkolo,82335
ZEFX401880MNEDQC00,Sergio,Mascall,Lenney,1971-10-12,Donald,674,Cennan,19830
HUND542123MNEKDY17,Currey,Remon,Izatson,1989-01-24,Grasskamp,5006,Zehak,23559
YULS982404HZSAFN81,Niall,Derle,Iacovielli,1988-07-04,Esch,5,Lidong,82084
GUKG308426MNESIW26,Gavin,Smye,Brundill,1993-02-26,Heffernan,53,Beiwenquan,31848
NEFQ170211MNEMUN56,Wilona,Ivanishev,Blackie,1993-04-06,Sauthoff,6,Cachipay,91706
DOZK879754HZSDOP31,Enid,Harpin,Fotheringham,1975-05-12,Stone Corner,577,Ube,13007
QUYT493734HNECBQ58,Thorpe,Emanuele,Garbert,1983-12-28,High Crossing,832,Anatuya,46537
EUAN118205HNEXCQ39,Jere,Schlag,Kohen,1990-10-14,Banding,6178,Rijau,17719
QOOP560588MNEPDH54,Ciro,Loy,Peaple,1963-07-28,Kim,984,Sumberbaru,74382
OIAY503750MZSQJO47,Eleonore,Heaselgrave,Bradmore,1963-01-11,Dovetail,4561,Loureiro,94719
XOAM079532HZSYTO02,Gary,Verner,Bullimore,1974-11-30,Sage,75,Irosin,84833
TOKQ741737MZSOIS10,Curran,Scurr,Diack,1970-11-21,Coolidge,82,Jermuk,63776
TONH937498HYNBWF93,Edie,Vicent,Goman,1982-05-23,Cherokee,50,Lawonda,94419
GEAP503039HNEIEX16,Kissie,Kaaskooper,Tague,1976-06-19,Holmberg,9157,Manika,45858
AUWN276815HZSKVA72,Crista,Odom,Meredyth,1981-08-16,Maywood,27,Feitoria,57608
IUSU946814HYNQJZ07,Olenolin,MacKenzie,Mcsarry,1973-06-27,Roxbury,1,Junan,94290
NAZT188006MNEECP31,Nari,Dudill,Faulkes,1973-02-16,Oak Valley,78,Langub,82182
RAYL701911HNEOSR48,Dulci,Sybe,Mussett,1964-06-12,Dixon,1320,Cucuta,55330
GUKO433304MZSLAV91,Sybilla,Vibert,Courtois,1968-07-10,Blackbird,321,El Triunfo,74677
UEMX741737HNEOHX89,Ford,Hanniger,Dolling,1961-06-10,Mitchell,3,New York City,56981
IULX282626HZSIHQ43,Sabrina,Giddings,Reary,1985-03-28,Crest Line,8888,Araal,78435
RUXD076237HNEXQG74,Nathanael,Geroldini,Orbon,1986-02-22,Steensland,12,Saspow,51331
TOZB291861MNEWGT48,Linnie,Welbourn,Emor,1967-06-11,Duke,6568,Maronge,78958
EAOI517474MZSSEM81,Em,Berardt,Clamo,1963-12-05,Marcy,66,Timahankrajan,43706
FAJL490713HNECWO26,Orton,Gillmor,Urion,1971-08-15,Badeau,72,Pondaguitan,23878
QOFM451880MTSXOK47,Aron,Benini,O Loughran,1973-03-23,Lillian,8542,Albania,65691
BEHY256468HNEDVC33,Felizio,Dullaghan,Pickton,1960-03-08,Summer Ridge,3020,Dallas,71642
DICH016083MNEHZO01,Mickey,Inde,Wiggans,1978-03-04,Sundown,9622,Bryan,72443
LUBD014038HNELWD80,Alden,Rozec,Senton,1980-07-01,Sundown,389,Pokrovskoye,38043
LEBO310352HNEBOW67,Obadias,Philipsen,Crinkley,1983-02-08,Hayes,4331,Krasnyy Yar,75807
MUOX423527HZSDYH71,Caddric,Sheere,Iglesia,1984-10-26,Raven,337,Liusi,56679
DUYD011735MNEIQF32,Oralle,Roggers,Garritley,1964-03-05,Linden,819,Ekenas,19615
KUHG237713MNENUL90,Feliks,Bartlomiejczyk,Nicolls,1963-02-04,Dayton,11,Ajaccio,71283
UUSX548924HZSMNY75,Tawnya,Della,Dussy,1994-04-13,Hayes,520,Criacao Velha,81463
DUVO737229HVZXRD37,Anthony,Wadesworth,Ferguson,1990-09-06,Springs,465,Youludu Sibage,44063
EUSX661567HYNOPH79,Donetta,Audsley,Lennarde,1966-01-11,6th,696,Krylovskaya,53594
CUEZ392876MVZBUG32,Mario,Pople,Nono,1974-04-18,Morning,75,Chinhoyi,26582
JOHU989671HZSPNU87,Kim,Salomon,Woodcock,1961-07-10,Crowley,6258,Dongxiang,29704
AUZX563185MYNZQA78,Brandice,Georgeou,Craighill,1964-08-26,Declaration,20,Jiangjiazui,85144
HOOY163231MYNTSM60,Artemus,Sanson,Earie,1965-12-14,Oakridge,9,Nangan,53910
AUTF786305MZSWFX08,Tamar,Tomicki,Feirn,1993-06-04,Old Gate,8,Erseke,63532
IURX937566MNEHOR83,Romy,Gallamore,Aspital,1960-10-07,Kinsman,57,Ustek,60905
YUTF454278HNEDCR56,Jody,Willmett,Aistrop,1976-10-01,7th,9,Gwangju,20542
AULM711846MNEPWI17,Farrand,Gohier,Rydzynski,1972-02-20,Scofield,9,AmbelOn,68821
JOOR411951MNEFNW63,Heida,O Concannon,Haglinton,1970-10-30,Washington,518,Gandara de Aquem,88725
ZUES701616MZSBGI19,Davida,Bolan,Whitelaw,1992-06-08,Crownhardt,3,Lianpeng,18112
EUFO409821MZSFOI00,Leilah,Alenshev,Kervin,1988-10-08,Jay,18,Shataping,26949
PIOF931849MZSDRA12,Kora,Malinson,Bradmore,1978-08-06,Kinsman,10,Kythnos,11537
EIKG383339MYNDQZ24,Petrina,Poultney,Liepmann,1988-07-22,Anhalt,4065,Ondoy,93335
QAAO655290MYNFSW62,Dominique,Zavattero,Waslin,1979-10-04,Transport,286,Sempu,74343
NUMP528637MNEBEP12,George,Brounfield,Cathenod,1988-06-12,Bayside,6,Wanshi,76356
JIVN461993HZSRCA88,Maegan,McErlaine,McElwee,1988-01-28,Magdeline,707,Naran mandokhu Somon,35289
UONJ148930MNERCL86,Tessa,Palmer,Walbrun,1961-04-29,Springview,1,Minshan,31610
NIYI918193MZSYDA95,Shandra,Agus,Millett,1986-05-10,East,3990,Cardenas,81921
AUCD941053HNEBNA00,Jill,Grog,Caulcott,1975-10-11,Elgar,11,Qaffin,34580
LOIY784210MZSWNA26,Perl,Yerson,Currier,1987-06-03,Eggendart,14,Ballsh,22065
WOPL488643HNEAKO13,Lira,O Hengerty,Denyer,1963-11-07,Lakewood,2,Vallehermoso,32103
IUVE699157HNEVHO70,Emmott,Staggs,Copozio,1981-03-17,Green Ridge,357,Wenping,62330
BUFV788030MVZTXN41,Iona,Pennaman,Kendrew,1974-12-21,Hollow Ridge,5,Wangsi,43389
