CURP,RFC,fecha_ingreso,salario
UORA607449MNEEKG54,WOED235362IY8,2018-09-25,$8052.28
LANX055956MTSRFG03,KOWB650129VS6,2015-09-27,$4865.98
IIEK157248HNEFWG28,KOZC593287KJ4,2018-10-02,$2091.76
FIZD841918MNEZTM26,GODF055695DX9,2016-07-23,$5295.64
KAMJ582926MYNJYD93,DUQE768709WH2,2016-05-30,$6267.07
IUST985301MNEXAK33,AUWF146784MT8,2017-01-04,$4763.90
BUWH488937HNEOAR53,MUEK003925IU8,2016-07-19,$8170.28
QUVA964623MYNYXM52,OUZX974528PA7,2017-07-27,$3388.10
UOXF832606MZSGFH34,XOQD459393HJ0,2017-10-17,$8205.02
ZODJ100555HNECXE76,UOCQ961816CD6,2018-05-26,$3586.37
JUIJ680369HNECVG07,AUHS459239NT1,2018-10-20,$7081.60
NIJF393827MZSLFG78,YIQS526745VC9,2017-08-28,$4168.55
ZEFX401880MNEDQC00,ZIBI569183ES6,2018-01-05,$2348.47
HUND542123MNEKDY17,JUVA999121UG7,2017-02-20,$2820.72
YULS982404HZSAFN81,ZOWK199647DS1,2018-02-24,$6560.86
GUKG308426MNESIW26,JUUK986976RP1,2016-05-31,$3880.52
NEFQ170211MNEMUN56,ROWY582510GJ2,2016-12-23,$6424.51
DOZK879754HZSDOP31,DUNS309744MY2,2015-10-28,$3328.72
QUYT493734HNECBQ58,HEJH712782KD3,2018-08-06,$8995.25
EUAN118205HNEXCQ39,BOWQ689000YP1,2018-02-20,$7683.68
QOOP560588MNEPDH54,UUUI326180DF8,2014-12-06,$6632.95
OIAY503750MZSQJO47,VUHL028998RO5,2015-10-21,$7435.10
XOAM079532HZSYTO02,DUXG314522YH8,2015-12-26,$2709.19
TOKQ741737MZSOIS10,PUXL036650OF2,2018-07-19,$5234.16
TONH937498HYNBWF93,KICZ585799KM5,2015-10-18,$2295.46
GEAP503039HNEIEX16,LUFL129220JQ7,2017-04-26,$8211.47
AUWN276815HZSKVA72,IUTY773652SG6,2018-05-16,$2717.95
IUSU946814HYNQJZ07,AUVX070400PG8,2016-05-18,$5919.15
NAZT188006MNEECP31,REWJ526488SB9,2018-06-16,$6240.56
RAYL701911HNEOSR48,SUCL465717HE4,2016-12-25,$6226.40
GUKO433304MZSLAV91,BITR746068AU9,2015-10-26,$7294.24
UEMX741737HNEOHX89,BIHR592094PI5,2014-12-28,$4681.59
IULX282626HZSIHQ43,YUNM543473EO7,2017-10-14,$3707.79
RUXD076237HNEXQG74,LOUZ278528FN5,2018-01-03,$2859.13
TOZB291861MNEWGT48,PAVT091003YV1,2016-04-14,$4116.39
EAOI517474MZSSEM81,IIKB100592XG4,2017-11-21,$2275.30
FAJL490713HNECWO26,ZOQM449983DP7,2018-10-08,$4397.26
QOFM451880MTSXOK47,RIHK121705XT6,2016-11-23,$8154.68
BEHY256468HNEDVC33,MOCU168474NZ3,2016-12-25,$8821.17
DICH016083MNEHZO01,WUKX892520JD7,2015-11-30,$3465.46
LUBD014038HNELWD80,TEOS969482OH0,2018-07-24,$4148.57
LEBO310352HNEBOW67,WUKM141057FN8,2014-11-06,$3321.22
MUOX423527HZSDYH71,DOHC472307LS9,2017-06-10,$6958.62
DUYD011735MNEIQF32,EUMO955873GX1,2017-03-19,$5814.90
KUHG237713MNENUL90,RIXW045170XN6,2017-10-01,$4447.39
UUSX548924HZSMNY75,ZUQE815065LZ9,2015-12-16,$3847.25
DUVO737229HVZXRD37,MUKR675375NC5,2017-05-30,$2125.14
EUSX661567HYNOPH79,BOJA673760GS3,2017-04-09,$3375.85
CUEZ392876MVZBUG32,DEWH268806NR5,2017-10-30,$3195.79
JOHU989671HZSPNU87,COSH865735NH0,2015-12-05,$2894.21
AUZX563185MYNZQA78,TUND293325ZG0,2018-01-19,$2772.66
HOOY163231MYNTSM60,FIAV141431QJ2,2015-04-28,$3103.02
AUTF786305MZSWFX08,JEMD005126ZI5,2015-02-19,$6144.06
IURX937566MNEHOR83,CEPQ170988RV7,2017-12-16,$3470.00
YUTF454278HNEDCR56,TUVI745406XS8,2016-12-31,$8571.51
AULM711846MNEPWI17,WULY471964BP3,2017-08-28,$5402.35
JOOR411951MNEFNW63,GONR568504RG7,2016-04-29,$4342.58
ZUES701616MZSBGI19,TAUL472727HM6,2017-02-05,$5356.40
EUFO409821MZSFOI00,LAXF026575FD4,2015-04-07,$8189.45
PIOF931849MZSDRA12,XUNV692743EL6,2018-05-01,$2565.96
EIKG383339MYNDQZ24,AIVW495858TP8,2017-08-17,$4387.72
QAAO655290MYNFSW62,GOAK453379RD7,2015-11-11,$4291.64
NUMP528637MNEBEP12,LUQZ435592KY8,2016-04-20,$5462.36
JIVN461993HZSRCA88,CEQT020635XP9,2017-01-01,$5457.10
UONJ148930MNERCL86,HOWQ580779GP9,2016-12-30,$3321.48
NIYI918193MZSYDA95,ZUIU100377PD9,2017-08-13,$6915.68
AUCD941053HNEBNA00,FUPW244479UJ5,2017-05-21,$6217.43
LOIY784210MZSWNA26,IUGR503105RT9,2017-06-12,$2941.13
WOPL488643HNEAKO13,WUJK340812FB9,2015-09-19,$4624.47
IUVE699157HNEVHO70,UUBE078823ML1,2016-02-03,$6738.71
BUFV788030MVZTXN41,MUXR042640UI2,2014-11-05,$6201.52
LOMU602509MNERWJ22,BUMB579386EN1,2015-06-06,$4776.28
FUUM920842HZSBPJ27,HEJY791725PC4,2017-12-21,$6553.68
BUMQ549428MNESKF56,EEUV346394LA8,2015-02-23,$6925.08
JOSU777565HNESCW12,MOQO580337VK0,2015-10-14,$6780.77
RIOD595459MYNBWZ55,RUNE461476TS9,2015-09-30,$3726.24
CUEG118892MZSHES38,EUEV461889BD5,2018-01-14,$6237.41
IOCU572669HZSCZB70,GAGS843136PY6,2018-09-24,$7777.95
VURB857060MVZIHN84,EUXV232594RO1,2015-02-22,$2134.87
HOEU285587MZSZRO58,BUZB339509SX6,2017-02-20,$7461.83
VIRM718903MNETNI53,CUKI194804UW4,2017-10-09,$3659.65
CUMV180316HZSKUA44,JILI292579UY6,2016-08-14,$8469.73
ROSE687885HNEDXQ03,MUZL436243RV3,2018-05-27,$4245.13
OUMB930364HZSMSU87,IEBV647414ZK4,2017-09-10,$7790.53
COZM278619HTLVMR13,RUAZ253180IL0,2017-04-04,$7336.34
DUYW178260MNEDTZ12,GOPV470874IX9,2016-07-03,$5416.08
VUGS549945HNEBUY46,FOLE160568DI9,2015-03-29,$5081.74
ROQA662777HNEQBV04,IEPQ867794MS6,2015-06-11,$5726.03
TOUW755253HVZIST86,TELR897908PK4,2017-06-10,$2143.17
EOBF523921MNEUOE44,MUMA041664FN6,2018-04-09,$3739.79
AUTZ709921MVZJGE37,JUBN919664KF7,2016-11-02,$7667.01
QOSP050762MNEFGP37,YUYJ226819BX5,2017-09-24,$5747.15
MURQ573602MNETYE43,JUZQ607662MU8,2017-12-31,$4440.89
HUOJ056750MVZJDZ99,HOTC824866YG8,2018-09-19,$4001.99
HUBZ486756MNEYXD62,BAWH739537IO1,2014-11-30,$5816.50
EIQP676915HYNMXR20,TOBM242302DM0,2015-11-19,$8294.58
WABY745955MNEMGC77,FUUQ846093VN4,2014-12-27,$4848.05
IUZO847540HZSTGN85,NUDN563174BQ3,2017-08-25,$7543.30
XUTN296904MNEZBP02,RUIH670388TD9,2016-05-03,$8038.45
CUXZ221953HZSMIE20,RUEY739867PI5,2017-10-05,$6047.69
